Price,Close,High,Low,Open,Volume,rsi,ema_9,ema_21,macd_line,target
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F,,,,,
Date,,,,,,,,,,
2025-01-15,2712.5,2712.5,2690.800048828125,2690.800048828125,930,63.31523442743098,2677.0001973673925,2661.53309931412,11.80458968250241,1
2025-01-16,2746.39990234375,2749.800048828125,2731.699951171875,2731.699951171875,1721,68.96210087912627,2690.880138362664,2669.248263225905,16.94859047621958,0
2025-01-17,2744.300048828125,2751.60009765625,2725.5,2736.0,1214,68.23915884516725,2701.5641204557564,2676.0711528261063,20.61813451590524,1
2025-01-21,2755.0,2755.0,2724.800048828125,2746.0,1439,70.01864470325826,2712.2512963646054,2683.2465025691877,24.111726269929477,1
2025-01-22,2767.60009765625,2768.800048828125,2753.5,2754.5,2079,72.06640440598898,2723.3210566229345,2690.915011213466,27.579229294579363,0
2025-01-23,2763.10009765625,2765.0,2745.39990234375,2760.0,2201,70.16470219771746,2731.276864829598,2697.4772917991736,29.622666373212724,1
2025-01-24,2777.300048828125,2792.0,2759.800048828125,2759.800048828125,1593,72.6913340626055,2740.4815016293032,2704.7339060745326,32.01882923345147,0
2025-01-27,2737.5,2762.199951171875,2737.5,2761.10009765625,984,57.52107961931261,2739.8852013034425,2707.712641885939,30.356345194831192,1
2025-01-28,2766.800048828125,2766.800048828125,2738.0,2738.0,2307,63.71517012408611,2745.268170808379,2713.084224335228,31.04521378681875,1
2025-01-29,2769.10009765625,2769.10009765625,2769.10009765625,2769.10009765625,125692,64.17085718459936,2750.0345561779536,2718.176576455321,31.41461371512878,1
2025-01-30,2823.0,2829.5,2770.0,2772.5,40141,72.99992709123786,2764.627644942363,2727.7059785957463,35.64573562695159,0
2025-01-31,2812.5,2838.0,2804.0,2829.0,3443,69.30341618775354,2774.2021159538904,2735.414525996133,37.71689113476714,1
2025-02-03,2833.89990234375,2848.39990234375,2780.89990234375,2818.199951171875,2649,72.46127936137677,2786.1416732318626,2744.3677420277345,40.61688391464031,1
2025-02-04,2853.300048828125,2853.300048828125,2816.10009765625,2827.60009765625,2187,75.04697375727574,2799.5733483511153,2754.270679009588,43.97367759090457,1
2025-02-05,2871.60009765625,2880.5,2848.0,2850.0,4519,77.2825887042294,2813.9786982121427,2764.9369897956485,47.5623525703827,0
